Customer_ID,Customer_Name,Customer_Segment,Marital_Status,Gender,Region,Policy_Id,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Name,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Premium_Amt,Total_Policy_Amt,Region_pol,Country,State,City,Postal_Code
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10003.0,PT005,Home,Home insurance policy,Home Policy 10003,Annual,2010-06-20,2015-06-19,7500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10003.0,PT005,Home,Home insurance policy,Home Policy 10003,Annual,2010-06-20,2015-06-19,7500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10003.0,PT005,Home,Home insurance policy,Home Policy 10003,Annual,2010-06-20,2015-06-19,7500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10003.0,PT005,Home,Home insurance policy,Home Policy 10003,Annual,2010-06-20,2015-06-19,7500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10001.0,PT001,Auto,Auto insurance policy,Auto Policy 10001,Annual,2014-02-06,2019-02-05,25000.0,200000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10002.0,PT001,Auto,Auto insurance policy,Auto Policy 10002,Annual,2011-10-11,2016-10-09,12500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10003.0,PT005,Home,Home insurance policy,Home Policy 10003,Annual,2010-06-20,2015-06-19,7500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10003.0,PT005,Home,Home insurance policy,Home Policy 10003,Annual,2010-06-20,2015-06-19,7500.0,500000.0,EAST,United States,New York,Hartford,81510.0
1,Mrs. Aaron Wilson,SME,Single,Male,EAST,10003.0,PT005,Home,Home insurance policy,Home Policy 10003,Annual,2010-06-20,2015-06-19,7500.0,500000.0,EAST,United States,New York,Hartford,81510.0
