Customer_ID,Customer_Title,Customer_First_Name,Customer_Last_Name,Customer_Segment,Marital_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Region
701,Professor,Yvonne,Harris,SME,Single,Female,1996-05-27,2024-01-15,,WEST
702,Dr.,Victor,Brown,Corporate,Widowed,Male,1988-01-24,2024-01-15,,SOUTH
703,Mrs.,Catherine,Jackson,SME,Married,Male,1986-05-18,2024-01-15,,SOUTH
704,Dr.,Rachel,Jones,Consumer,Married,Male,1980-01-17,2024-01-15,,EAST
705,Ms.,Victor,Garcia,Consumer,Widowed,Female,1970-09-01,2024-01-15,,NORTH
706,Professor,Olivia,Brown,SME,Divorced,Female,1995-07-18,2024-01-15,,NORTH
707,Mr.,Quinn,Dillon,Consumer,Single,Male,1984-09-07,2024-01-15,,WEST
708,Dr.,Yvonne,Tyson,Consumer,Divorced,Male,1989-04-15,2024-01-15,,SOUTH
709,Professor,Brian,Smith,Consumer,Married,Male,1984-11-04,2024-01-15,,NORTH
710,Professor,Wendy,Davis,SME,Widowed,Female,1992-10-04,2024-01-15,,EAST
711,Mrs.,James,Tyson,Corporate,Single,Male,1982-09-20,2024-01-15,,NORTH
712,Dr.,Ursula,Potter,SME,Widowed,Male,1999-05-17,2024-01-15,,NORTH
713,Mr.,Liam,Garcia,Consumer,Widowed,Female,1987-07-08,2024-01-15,,SOUTH
714,Mrs.,Rachel,Garcia,Consumer,Widowed,Female,1987-01-25,2024-01-15,,SOUTH
715,Professor,Charles,Dillon,SME,Widowed,Female,1997-05-20,2024-01-15,,EAST
716,Dr.,Rachel,Jones,SME,Widowed,Female,1976-11-26,2024-01-15,,SOUTH
717,Ms.,Quinn,Kirby,Consumer,Widowed,Male,1998-11-09,2024-01-15,,WEST
718,Professor,Aaron,Jackson,SME,Married,Male,1986-07-16,2024-01-15,,NORTH
719,Ms.,Catherine,Smith,SME,Divorced,Female,1987-02-02,2024-01-15,,EAST
720,Dr.,Samuel,Johnson,Consumer,Single,Male,1982-07-17,2024-01-15,,NORTH
721,Ms.,Brian,Thomas,Corporate,Divorced,Male,1993-06-27,2024-01-15,,WEST
722,Dr.,Samuel,Jackson,Consumer,Married,Female,1997-06-04,2024-01-15,,SOUTH
723,Mrs.,Ursula,Davis,SME,Married,Female,1987-07-23,2024-01-15,,NORTH
724,Mrs.,Rachel,Kirby,Consumer,Divorced,Female,1977-05-17,2024-01-15,,WEST
725,Mr.,Victor,Taylor,Consumer,Divorced,Female,1977-12-24,2024-01-15,,NORTH
726,Dr.,Fiona,Kirby,Consumer,Widowed,Male,1979-12-21,2024-01-15,,NORTH
727,Professor,Tina,Thomas,Consumer,Married,Male,1995-02-12,2024-01-15,,NORTH
728,Ms.,Liam,Smith,SME,Widowed,Female,1987-04-30,2024-01-15,,SOUTH
729,Mr.,Tina,Taylor,Corporate,Divorced,Female,1980-01-22,2024-01-15,,NORTH
730,Mrs.,James,Dillon,SME,Single,Male,1975-01-29,2024-01-15,,EAST
731,Professor,Patrick,Garcia,Consumer,Married,Female,1996-02-09,2024-01-15,,SOUTH
732,Ms.,Zachary,Johnson,Consumer,Divorced,Male,1987-09-12,2024-01-15,,WEST
733,Mr.,Karen,Anderson,Corporate,Single,Female,1984-09-14,2024-01-15,,NORTH
734,Mr.,Gwendolyn,Garcia,Corporate,Married,Female,1991-05-07,2024-01-15,,WEST
735,Mrs.,Zachary,White,Corporate,Divorced,Male,1970-09-21,2024-01-15,,EAST
736,Mrs.,Wendy,Dillon,Consumer,Divorced,Male,1971-07-31,2024-01-15,,NORTH
737,Mrs.,Olivia,Jackson,SME,Single,Female,1995-03-10,2024-01-15,,NORTH
738,Professor,Xander,Jones,Corporate,Single,Female,1986-03-12,2024-01-15,,EAST
739,Mrs.,Brian,Thompson,SME,Divorced,Female,1977-04-21,2024-01-15,,WEST
740,Ms.,Rachel,White,Corporate,Single,Female,1996-03-06,2024-01-15,,WEST
741,Dr.,Rachel,Harris,Corporate,Divorced,Male,1976-03-14,2024-01-15,,SOUTH
742,Ms.,Quinn,Taylor,SME,Divorced,Female,1996-05-23,2024-01-15,,SOUTH
743,Ms.,Zachary,Taylor,SME,Divorced,Male,1992-07-09,2024-01-15,,SOUTH
744,Ms.,Tina,Brown,Consumer,Widowed,Female,1971-02-21,2024-01-15,,WEST
745,Mr.,Catherine,Johnson,Consumer,Married,Female,1986-09-17,2024-01-15,,WEST
746,Professor,Ursula,Davis,Consumer,Married,Male,1998-10-30,2024-01-15,,WEST
747,Ms.,Brian,Taylor,Consumer,Married,Male,1984-07-14,2024-01-15,,EAST
748,Dr.,Bonnie,Thompson,Consumer,Widowed,Male,2000-08-04,2024-01-15,,NORTH
749,Ms.,James,Anderson,SME,Widowed,Female,1996-04-22,2024-01-15,,EAST
750,Mrs.,Patrick,Davis,Corporate,Widowed,Female,1983-02-17,2024-01-15,,SOUTH
1354,Mr.,Aaron,Dillon,Consumer,Married,Male,1985-02-15,2024-04-12,2024-04-12,EAST
