Customer_ID,Customer_Title,Customer_First_Name,Customer_Last_Name,Customer_Segment,Marital_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Region
1,Mrs.,Aaron,Wilson,SME,Single,Male,1970-01-10,2003-02-17,,EAST
2,Mr.,Bonnie,Smith,SME,Single,Male,1969-08-13,2005-03-20,,SOUTH
3,Mister.,Bonnie,Potter,SME,Married,Female,1974-12-16,2000-02-23,,SOUTH
4,Mrs.,Irene,Jones,Corporate,Single,Male,1980-03-13,2002-04-17,,NORTH
5,Professor,Brian,Thomas,SME,Widowed,Male,1973-09-24,2000-12-21,,NORTH
6,Ms.,Charles,Potter,SME,Married,Male,1982-06-12,2012-12-12,,SOUTH
7,Ms.,Victor,Davis,Corporate,Single,Female,1957-02-27,2005-03-22,,EAST
8,Mrs.,Ursula,Thomas,SME,Married,Female,1983-03-19,2007-12-20,,SOUTH
9,Mrs.,Tina,Dillon,Corporate,Married,Female,1997-12-02,2005-06-28,,EAST
10,Mrs.,Ursula,Potter,Consumer,Married,Female,1979-02-04,2001-04-03,,NORTH
11,Mrs.,Irene,Williams,SME,Married,Female,2000-11-19,2007-01-21,,SOUTH
12,Dr.,Catherine,Dillon,Consumer,Married,Female,1962-10-26,2005-12-09,,SOUTH
13,Dr.,Catherine,Kirby,SME,Married,Female,1982-06-23,2004-12-01,,SOUTH
14,Mr.,Gwendolyn,Tyson,SME,Married,Female,1963-09-18,2014-01-27,,EAST
15,Professor,Megan,Jackson,SME,Divorced,Male,1991-12-29,2011-11-13,,EAST
16,Ms.,Victor,Potter,Corporate,Divorced,Male,1980-07-08,2002-07-02,,EAST
17,Professor,Aaron,Wilson,SME,Single,Female,1966-01-11,2011-05-21,,SOUTH
18,Mrs.,Edward,Thomas,SME,Single,Female,1998-05-23,2011-11-23,,WEST
19,Ms.,Aaron,Brown,Consumer,Single,Male,1977-08-03,2005-05-15,,SOUTH
20,Mr.,Xander,Martin,SME,Married,Female,1997-10-16,2002-10-27,,EAST
21,Professor,Irene,Thompson,SME,Married,Female,1987-12-18,2004-10-01,,WEST
22,Ms.,Victor,Dillon,Consumer,Widowed,Male,1989-04-21,2011-08-10,,SOUTH
23,Mr.,Charles,Taylor,Consumer,Married,Male,1999-09-11,2005-02-28,,WEST
24,Mr.,Henry,Williams,Corporate,Married,Female,1979-08-24,2001-08-03,,EAST
25,Professor,Rachel,Jones,Corporate,Widowed,Male,1992-05-28,2005-06-13,,WEST
26,Ms.,Diana,White,SME,Widowed,Male,1988-01-01,2009-03-21,,EAST
27,Ms.,Bonnie,Jackson,Consumer,Married,Female,1959-10-21,2005-07-29,,EAST
28,Ms.,Nathan,Garcia,Corporate,Single,Male,1991-07-04,2005-08-08,,WEST
29,Mr.,Ursula,Potter,Corporate,Married,Female,1958-05-15,2005-04-20,,EAST
30,Mr.,Gwendolyn,Jackson,Corporate,Single,Female,1964-10-08,2008-07-01,,SOUTH
31,Professor,James,White,Corporate,Married,Male,1993-08-30,2003-06-22,,SOUTH
32,Mr.,Samuel,Potter,SME,Single,Female,1978-02-19,2001-04-13,,EAST
33,Mr.,Bonnie,Thompson,SME,Single,Male,1966-09-03,2001-07-15,,WEST
34,Mrs.,Diana,Kirby,Corporate,Single,Female,1953-07-26,2013-11-21,,SOUTH
35,Mrs.,Gwendolyn,Taylor,SME,Married,Female,1973-10-30,2008-11-16,,NORTH
36,Mr.,Karen,Williams,Consumer,Single,Male,1991-02-12,2013-12-06,,SOUTH
37,Mr.,Edward,Thomas,Consumer,Divorced,Female,1971-12-01,2008-04-15,,NORTH
38,Professor,Tina,Dillon,SME,Divorced,Male,1950-09-14,2014-12-24,,NORTH
39,Mr.,Irene,Brown,Corporate,Divorced,Male,1999-08-20,2003-06-27,,WEST
40,Ms.,Gwendolyn,Dillon,Consumer,Divorced,Male,1995-05-06,2010-12-16,,NORTH
41,Mr.,Allison,Wilson,SME,Married,Female,1950-04-27,2007-06-25,,SOUTH
42,Professor,Xander,Harris,Consumer,Single,Male,1988-05-15,2012-07-30,,WEST
43,Ms.,Rachel,Johnson,Consumer,Widowed,Male,1999-07-28,2003-04-28,,WEST
44,Ms.,Liam,Johnson,SME,Married,Male,1968-11-05,2015-04-19,,NORTH
45,Dr.,Yvonne,Potter,Consumer,Married,Female,1963-11-13,2005-04-23,,NORTH
46,Dr.,Fiona,Taylor,SME,Married,Male,1972-04-06,2005-12-25,,EAST
47,Dr.,Brian,Johnson,Corporate,Widowed,Female,1969-12-15,2004-06-22,,SOUTH
48,Mrs.,Henry,Smith,Consumer,Divorced,Female,1985-09-30,2007-05-13,,WEST
49,Dr.,Ursula,Thompson,Consumer,Single,Female,1998-02-08,2007-06-05,,NORTH
50,Mr.,Samuel,Wilson,Corporate,Widowed,Female,1959-09-23,2013-05-19,,WEST
51,Mr.,Tina,Thompson,Corporate,Married,Male,1984-07-23,2012-12-06,,SOUTH
52,Professor,Aaron,Thompson,Consumer,Widowed,Female,1967-09-05,2008-03-02,,SOUTH
53,Ms.,Victor,Brown,Corporate,Widowed,Female,1995-07-01,2006-12-08,,NORTH
54,Mrs.,Rachel,Jones,SME,Widowed,Male,1987-09-21,2014-11-30,,NORTH
55,Mr.,Megan,Potter,Corporate,Married,Female,1977-04-06,2006-06-08,,NORTH
56,Mrs.,Olivia,Harris,SME,Married,Male,1995-11-11,2010-08-12,,SOUTH
57,Professor,Quinn,Dillon,SME,Married,Female,1980-01-27,2002-02-04,,NORTH
58,Mrs.,Zachary,Miller,Corporate,Married,Male,1952-03-11,2001-01-13,,WEST
59,Professor,Nathan,Dillon,Corporate,Widowed,Female,1967-06-12,2015-08-14,,SOUTH
60,Mr.,Edward,Dillon,Consumer,Married,Female,1959-07-25,2009-07-14,,WEST
61,Mr.,Rachel,Davis,SME,Widowed,Female,1990-12-14,2002-12-28,,EAST
62,Dr.,Tina,Thompson,SME,Married,Female,1999-02-25,2009-12-31,,SOUTH
63,Ms.,Irene,Davis,Corporate,Married,Female,1996-10-07,2010-11-13,,SOUTH
64,Mrs.,Wendy,Anderson,SME,Divorced,Male,1974-05-18,2007-07-14,,EAST
65,Dr.,Edward,Davis,Consumer,Married,Female,1963-09-17,2015-11-04,,WEST
66,Dr.,Karen,Potter,Corporate,Married,Female,1987-04-21,2001-05-25,,SOUTH
67,Dr.,Brian,Kirby,Corporate,Divorced,Female,1992-10-16,2000-02-18,,EAST
68,Professor,Rachel,Potter,Corporate,Married,Female,1969-10-14,2010-12-13,,SOUTH
69,Ms.,Aaron,Jackson,Consumer,Widowed,Male,1986-04-10,2003-09-14,,SOUTH
70,Mr.,Samuel,Kirby,Consumer,Widowed,Female,1957-07-13,2014-06-01,,SOUTH
71,Dr.,Bonnie,Wilson,Corporate,Widowed,Female,1979-05-15,2004-09-29,,WEST
72,Ms.,Irene,White,SME,Single,Male,1957-05-07,2010-07-19,,SOUTH
73,Mr.,Henry,Dillon,Consumer,Married,Male,1953-08-12,2000-09-11,,NORTH
74,Dr.,Henry,Jones,Corporate,Married,Female,1960-04-06,2012-08-25,,WEST
75,Professor,Fiona,Tyson,Consumer,Divorced,Male,1960-04-11,2003-09-03,,NORTH
76,Dr.,Samuel,Jackson,Consumer,Married,Female,1967-10-17,2001-09-14,,NORTH
77,Mr.,Zachary,Kirby,SME,Widowed,Female,1981-02-24,2011-12-13,,EAST
